"Region" "Treat" "X" "RegionTreat"
"209" "NA" "High" 0 "NA:High"
"210" "NA" "High" 0 "NA:High"
"211" "NA" "High" 0 "NA:High"
"212" "NA" "High" 0 "NA:High"
"213" "NA" "High" 0 "NA:High"
"214" "NA" "High" 0 "NA:High"
"215" "NA" "High" 0 "NA:High"
"216" "NA" "High" 0 "NA:High"
"217" "NA" "High" 0 "NA:High"
"218" "NA" "High" 0 "NA:High"
"219" "NA" "High" 0 "NA:High"
"220" "NA" "High" 0 "NA:High"
"221" "NA" "High" 0 "NA:High"
"222" "NA" "High" 0 "NA:High"
"223" "NA" "High" 0 "NA:High"
"224" "NA" "High" 0 "NA:High"
"225" "NA" "High" 1 "NA:High"
"226" "NA" "High" 0 "NA:High"
"227" "NA" "High" 0 "NA:High"
"228" "NA" "High" 0 "NA:High"
"229" "NA" "High" 0 "NA:High"
"230" "NA" "High" 0 "NA:High"
"231" "NA" "High" 0 "NA:High"
"232" "WE" "High" 1 "WE:High"
"233" "WE" "High" 0 "WE:High"
"234" "WE" "High" 0 "WE:High"
"235" "WE" "High" 0 "WE:High"
"236" "WE" "High" 0 "WE:High"
"237" "WE" "High" 1 "WE:High"
"238" "WE" "High" 0 "WE:High"
"239" "WE" "High" 1 "WE:High"
"240" "WE" "High" 0 "WE:High"
"241" "WE" "High" 0 "WE:High"
"242" "WE" "High" 0 "WE:High"
"243" "WE" "High" 0 "WE:High"
"244" "WE" "High" 1 "WE:High"
"245" "WE" "High" 0 "WE:High"
"246" "NA" "High" 0 "NA:High"
"247" "NA" "High" 0 "NA:High"
"248" "NA" "High" 1 "NA:High"
"249" "NA" "High" 0 "NA:High"
"250" "NA" "High" 1 "NA:High"
"251" "WE" "High" 0 "WE:High"
"252" "WE" "High" 0 "WE:High"
"253" "WE" "High" 0 "WE:High"
"254" "NA" "High" 0 "NA:High"
"255" "NA" "High" 0 "NA:High"
"256" "NA" "High" 0 "NA:High"
"257" "NA" "High" 0 "NA:High"
"258" "NA" "High" 0 "NA:High"
"259" "NA" "High" 0 "NA:High"
"260" "NA" "High" 0 "NA:High"
"261" "NA" "High" 1 "NA:High"
"262" "NA" "High" 0 "NA:High"
"263" "NA" "High" 0 "NA:High"
"264" "NA" "High" 0 "NA:High"
"265" "WE" "High" 0 "WE:High"
"266" "WE" "High" 0 "WE:High"
"267" "WE" "High" 0 "WE:High"
"268" "WE" "High" 0 "WE:High"
"269" "WE" "High" 0 "WE:High"
"270" "WE" "High" 0 "WE:High"
"271" "NA" "Placebo" 0 "NA:Placebo"
"272" "WE" "High" 0 "WE:High"
"273" "WE" "High" 0 "WE:High"
"274" "NA" "Placebo" 0 "NA:Placebo"
"275" "NA" "Placebo" 0 "NA:Placebo"
"276" "NA" "Placebo" 0 "NA:Placebo"
"277" "NA" "Placebo" 0 "NA:Placebo"
"278" "NA" "Placebo" 0 "NA:Placebo"
"279" "NA" "Placebo" 0 "NA:Placebo"
"280" "NA" "High" 1 "NA:High"
"281" "NA" "Placebo" 1 "NA:Placebo"
"282" "NA" "Placebo" 0 "NA:Placebo"
"283" "NA" "Placebo" 0 "NA:Placebo"
"284" "NA" "Placebo" 0 "NA:Placebo"
"285" "NA" "Placebo" 0 "NA:Placebo"
"286" "NA" "High" 0 "NA:High"
"287" "NA" "High" 0 "NA:High"
"288" "NA" "High" 0 "NA:High"
"289" "NA" "Placebo" 0 "NA:Placebo"
"290" "NA" "High" 0 "NA:High"
"291" "NA" "High" 0 "NA:High"
"292" "NA" "High" 0 "NA:High"
"293" "NA" "High" 0 "NA:High"
"294" "NA" "Placebo" 0 "NA:Placebo"
"295" "NA" "Placebo" 0 "NA:Placebo"
